Municipio,Provincia,Habitantes(2022),CarrilBici,Preciosalquiler,DistanciaaMadrid(km),TiempomediodeviajeaMadridencoche,TiempomediodeviajeaMadridentrenoautobús,DistanciaaBarcelona(km),TiempomediodeviajeaBarcelonaencoche,TiempomediodeviajeaBarcelonaentrenoautobús,AeropuertoInternacionalmáscercano,Númerodeconexionesdelaeropuertointernacionalmáscercano,Distanciaalaeropuertointernacionalmáscercano(km),Temperaturamáximamedia(ºC),Temperaturamínimamedia(ºC),Preciomediovivienda(EUR/m2),PatrimoniodelaHumanidad,%díascalidaddelaireBuena,%díascalidaddelaireRazonablementeBuena,%díascalidaddelaireRegular,%díascalidaddelaireDesfavorable,%díascalidaddelaireMuyDesfavorable,%díascalidaddelaireExtremadamenteDesfavorable,Ponderacióncalidaddelaire,HorasdeSolmediasanuales,IDComunidadAutonoma
Burgos,Burgos,173483,34.6,7.9,248,02:37:00,02:24:00,602,05:46:00,04:48:00,Vitoria,3,122.0,27,-1,1642,Sí,80,17,2,4,0,0,476,2751,7
Cáceres,Cáceres,95456,53.4,6.3,297,02:50:00,03:03:00,914,08:51:00,11:29:00,Sevilla,70,269.0,34,1,1220,Sí,23,63,11,1,0,0,406,3365,12
Cádiz,Cádiz,113066,N/D,10.5,647,05:59:00,04:32:00,1109,10:49:00,12:00:00,Jerez,16,42.3,29,8,2548,No,10,77,10,3,0,0,394,3316,1
Cartagena,Murcia,216961,20.7,6.7,453,04:17:00,04:37:00,626,06:09:00,09:30:00,Región de Murcia,15,32.1,29,6,N/D,No,8,80,9,3,0,0,395,3348,16
Castelló de la Plana,Castellón,171857,50,7.1,460,04:17:00,03:29:00,278,02:56:00,02:20:00,Castelló,11,33.1,28,7,1214,No,41,58,2,4,0,0,443,3321,11
Ceuta,Ceuta,83117,1.2,N/D,704,08:34:00,13:00:00,1171,13:20:00,18:00:00,Jerez,16,149.0,27,11,2204,No,12,75,12,0,0,0,396,N/D,18
Córdoba,Córdoba,319515,41.6,7,396,03:52:00,01:52:00,860,08:23:00,04:52:00,Sevilla,70,137.0,36,4,1441,Sí,24,59,8,0,1,0,399,3316,1
Coslada,Madrid,80596,13.6,10.6,16,00:25:00,00:20:00,606,05:46:00,02:55:00,"Adolfo Suárez 
Madrid-Barajas",174,6.7,33,1,N/D,No,14,68,12,N/D,1,0,389,2691,9
Dos Hermanas,Sevilla,137561,N/D,7.7,544,05:03:00,03:31:00,1000,09:49:00,11:24:00,Sevilla,70,20.4,35,5,N/D,No,28,57,5,9,0,0,383,3526,1
El Ejido,Almería,87500,N/D,6.2,552,05:14:00,08:40:00,830,08:15:00,11:08:00,Almería,19,51.1,30,9,N/D,No,11,74,10,N/D,0,0,391,3305,1
Elche,Alicante,235580,11,6.5,423,03:58:00,03:11:00,529,05:16:00,08:30:00,"Alacant-Elx 
Miguel Hernández",119,19.2,31,6,N/D,Sí,25,71,4,5,0,0,421,3397,11
Fuenlabrada,Madrid,189891,9.5,9.9,25,00:28:00,00:25:00,638,06:03:00,03:01:00,"Adolfo Suárez 
Madrid-Barajas",174,34.3,33,0,N/D,No,14,74,9,0,0,0,399,2691,9
Gandia,Valencia,75911,14.5,6.9,436,04:11:00,04:02:00,429,04:17:00,05:45:00,València,89,76.9,30,7,N/D,No,38,60,2,5,0,0,436,2808,11
Getafe,Madrid,183219,40.4,11.1,16,00:24:00,00:17:00,630,05:58:00,02:56:00,"Adolfo Suárez 
Madrid-Barajas",174,25.9,33,0,N/D,No,15,70,11,N/D,0,0,396,2691,9
Getxo,Bizkaia,76365,41.9,12.5,415,04:05:00,04:47:00,619,05:54:00,08:59:00,Bilbao,46,18.8,24,6,N/D,Sí,52,37,6,0,0,0,432,1694,14
Gijón,Asturias,267706,22.4,8.5,466,04:25:00,05:55:00,869,08:28:00,13:00:00,Asturias,24,41.8,23,7,N/D,No,2,68,18,N/D,0,0,362,1962,15
Girona,Girona,102666,24.9,11,692,06:50:00,03:44:00,102,01:20:00,00:38:00,"Girona-
Costa Brava",17,15.5,31,2,2226,No,93,7,0,3,0,0,493,2800,8
Granada,Granada,228682,32.8,9,418,04:04:00,03:51:00,855,08:36:00,12:00:00,Federico García Lorca-Granada,8,17.5,34,0,1931,Sí,16,64,10,0,0,0,384,3228,1
